Aprwb	14	15	16	17	18	19	20	21	22	23	00	01	02	03	04	05	06	07
24 w	*****	*****	*****	*****	*****	563.3	1.6	1.6	1.6	1.6	1.6	1.6	1.6	12.1	*****	*****	*****	*****
24 b	*****	*****	*****	*****	*****	66.2	0.5	0.5	0.5	0.5	0.5	0.5	0.5	2.6	*****	*****	*****	*****
25 w	*****	*****	*****	*****	*****	724.8	1.7	1.6	1.6	1.6	1.6	1.6	1.6	15.2	*****	*****	*****	*****
25 b	*****	*****	*****	*****	*****	83.1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.1	*****	*****	*****	*****
26 w	*****	*****	*****	*****	*****	933.5	1.7	1.6	1.6	1.6	1.6	1.6	1.6	19.2	*****	*****	*****	*****
26 b	*****	*****	*****	*****	*****	104.7	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.8	*****	*****	*****	*****
27 w	*****	*****	*****	*****	*****	*****	1.8	1.6	1.6	1.6	1.6	1.6	1.6	24.3	*****	*****	*****	*****
27 b	*****	*****	*****	*****	*****	132.2	0.6	0.5	0.5	0.5	0.5	0.5	0.5	4.6	*****	*****	*****	*****
28 w	*****	*****	*****	*****	*****	*****	1.9	1.6	1.6	1.6	1.6	1.6	1.6	30.9	*****	*****	*****	*****
28 b	*****	*****	*****	*****	*****	167.1	0.6	0.5	0.5	0.5	0.5	0.5	0.5	5.5	*****	*****	*****	*****
29 w	*****	*****	*****	*****	*****	*****	2.1	1.6	1.6	1.6	1.6	1.6	1.6	39.3	*****	*****	*****	*****
29 b	*****	*****	*****	*****	*****	211.5	0.6	0.5	0.5	0.5	0.5	0.5	0.5	6.8	*****	*****	*****	*****
30 w	*****	*****	*****	*****	*****	*****	2.9	1.9	1.7	1.6	1.6	1.6	1.6	50.1	*****	*****	*****	*****
30 b	*****	*****	*****	*****	*****	268.0	0.8	0.6	0.5	0.5	0.5	0.5	0.5	8.2	*****	*****	*****	*****
